title,img,description,price_dollar,price_som
Toyota RAV4,https://im.mashina.kg/tachka/images//4/9/0/49033962cf39fd33c18050b2c88ea5c4_240x180.jpg,"2017г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,107523км",$ 20 800,1 826 864 сом
Toyota Highlander,https://im.mashina.kg/tachka/images//6/7/9/67936aa475aec023c45eaf20b06369b3_240x180.jpg,"2012г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,200000км",$ 18 900,1 659 987 сом
Lexus LX,https://im.mashina.kg/tachka/images//8/8/f/88fcc95d19d0e97f24a38e738ea6c280_240x180.jpg,"2014г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,37000км",$ 72 000,6 323 760 сом
Geely Monjaro,https://im.mashina.kg/tachka/images//6/9/6/696f29da46f4dee6b1b50054c4439eef_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева",$ 27 932,2 430 084 сом
Kia Mohave (Borrego),https://im.mashina.kg/tachka/images//3/a/6/3a613905c12b83b88e35d6241fd2f954_240x180.jpg,"2022г.,3л.,автоматвнедорожник5дв.,дизельрульслева,13000км",$ 58 700,5 155 621 сом
Mercedes-Benz GL-класс,https://im.mashina.kg/tachka/images//1/8/1/181decc3674613bc984db4cd7db646a1_240x180.jpg,"2013г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,100000км",$ 37 500,3 293 625 сом
Subaru Outback,https://im.mashina.kg/tachka/images//b/4/1/b41ad9d6bcbedd2929fc29175ade45ea_240x180.jpg,"2019г.,2.5л.,вариаторуниверсал,бензинрульслева,69000км",$ 24 500,2 151 835 сом
Hyundai Sonata,https://im.mashina.kg/tachka/images//e/e/c/eec3b2e0c9749cdb18b2adeda537e250_240x180.jpg,"2017г.,2л.,автоматседан,газрульслева,179000км",$ 12 900,1 133 007 сом
Lexus RX,https://im.mashina.kg/tachka/images//4/b/1/4b1dd6efd46848725500becb82fab9b5_240x180.jpg,"2021г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,38000км",$ 53 000,4 654 990 сом
Kia K5 II Седан,https://im.mashina.kg/tachka/images//6/d/5/6d531065a498b1413e1a00342a48bc84_240x180.jpg,"2018г.,2л.,автоматседан,газрульслева,320000км",$ 14 400,1 264 752 сом
Tesla Model 3,https://im.mashina.kg/tachka/images//d/e/e/deeef3d3a4f9f913922cea372a08e1bc_240x180.jpg,"2022г.,автоматседан,электрорульслева,55км",$ 57 000,5 006 310 сом
Lexus ES,https://im.mashina.kg/tachka/images//c/9/6/c969ed889c8edf853304eec6626d6db5_240x180.jpg,"2017г.,2.5л.,вариаторседан,гибридрульслева,107124км",$ 31 000,2 722 730 сом
